driver_id,vehicle_type,driver_partner_type
945,Motorcycle,Independent Driver
975,Motorcycle,Independent Driver
976,Bicycle,Independent Driver
982,Motorcycle,Independent Driver
986,Bicycle,Independent Driver
988,Motorcycle,Independent Driver
995,Bicycle,Independent Driver
998,Motorcycle,Independent Driver
1004,Motorcycle,Independent Driver
1005,Motorcycle,Independent Driver
1015,Motorcycle,Independent Driver
1032,Motorcycle,Partner Fleet
1038,Bicycle,Independent Driver
1039,Bicycle,Independent Driver
1040,Motorcycle,Independent Driver
1064,Motorcycle,Independent Driver
1068,Motorcycle,Independent Driver
1073,Motorcycle,Independent Driver
1074,Motorcycle,Independent Driver
1094,Motorcycle,Partner Fleet
1095,Motorcycle,Independent Driver
1105,Bicycle,Independent Driver
1111,Motorcycle,Independent Driver
1113,Motorcycle,Independent Driver
1117,Motorcycle,Independent Driver
1126,Bicycle,Independent Driver
1165,Motorcycle,Independent Driver
1173,Motorcycle,Partner Fleet
1181,Bicycle,Independent Driver
1184,Bicycle,Independent Driver
1202,Bicycle,Independent Driver
1203,Bicycle,Independent Driver
1212,Motorcycle,Independent Driver
1223,Motorcycle,Independent Driver
1229,Motorcycle,Independent Driver
1251,Motorcycle,Independent Driver
1253,Motorcycle,Independent Driver
1281,Bicycle,Independent Driver
1286,Motorcycle,Independent Driver
1301,Bicycle,Independent Driver
1374,Motorcycle,Independent Driver
1377,Motorcycle,Independent Driver
1395,Motorcycle,Independent Driver
1402,Bicycle,Independent Driver
1405,Bicycle,Independent Driver
1419,Motorcycle,Independent Driver
1433,Bicycle,Independent Driver
1463,Motorcycle,Independent Driver
1482,Motorcycle,Independent Driver
1488,Motorcycle,Independent Driver
1511,Motorcycle,Independent Driver
1547,Motorcycle,Partner Fleet
1599,Bicycle,Independent Driver
1621,Motorcycle,Independent Driver
1626,Motorcycle,Independent Driver
1657,Motorcycle,Independent Driver
1706,Bicycle,Independent Driver
1737,Bicycle,Independent Driver
1759,Bicycle,Independent Driver
1786,Bicycle,Independent Driver
1787,Bicycle,Independent Driver
1800,Motorcycle,Independent Driver
1808,Motorcycle,Independent Driver
1822,Bicycle,Independent Driver
1829,Motorcycle,Independent Driver
1837,Motorcycle,Partner Fleet
1855,Motorcycle,Independent Driver
1874,Bicycle,Independent Driver
1912,Motorcycle,Independent Driver
1916,Motorcycle,Partner Fleet
1943,Bicycle,Independent Driver
1948,Bicycle,Independent Driver
1959,Bicycle,Independent Driver
1972,Motorcycle,Independent Driver
1983,Motorcycle,Independent Driver
2000,Motorcycle,Independent Driver
2001,Motorcycle,Partner Fleet
2002,Motorcycle,Independent Driver
2033,Motorcycle,Independent Driver
2061,Bicycle,Independent Driver
2089,Motorcycle,Partner Fleet
2091,Motorcycle,Independent Driver
2119,Motorcycle,Independent Driver
2147,Motorcycle,Independent Driver
2156,Motorcycle,Independent Driver
2159,Motorcycle,Independent Driver
2165,Motorcycle,Independent Driver
2174,Motorcycle,Independent Driver
2178,Bicycle,Independent Driver
2186,Bicycle,Independent Driver
2228,Motorcycle,Partner Fleet
2240,Motorcycle,Independent Driver
2244,Motorcycle,Partner Fleet
2260,Motorcycle,Independent Driver
2267,Motorcycle,Independent Driver
2275,Motorcycle,Independent Driver
2276,Motorcycle,Independent Driver
2296,Motorcycle,Independent Driver
2304,Motorcycle,Independent Driver
2321,Motorcycle,Independent Driver
2324,Motorcycle,Independent Driver
2331,Motorcycle,Independent Driver
2337,Motorcycle,Independent Driver
2354,Motorcycle,Partner Fleet
2355,Motorcycle,Independent Driver
2364,Motorcycle,Independent Driver
2395,Bicycle,Independent Driver
2426,Motorcycle,Independent Driver
2447,Bicycle,Independent Driver
2465,Motorcycle,Independent Driver
2468,Bicycle,Independent Driver
2472,Motorcycle,Independent Driver
2473,Bicycle,Independent Driver
2476,Bicycle,Independent Driver
2486,Motorcycle,Independent Driver
2489,Motorcycle,Independent Driver
2490,Motorcycle,Independent Driver
2511,Motorcycle,Partner Fleet
2519,Bicycle,Independent Driver
2550,Bicycle,Independent Driver
2552,Motorcycle,Independent Driver
2561,Motorcycle,Independent Driver
2631,Bicycle,Independent Driver
2638,Motorcycle,Independent Driver
2649,Motorcycle,Independent Driver
2672,Motorcycle,Independent Driver
2674,Bicycle,Independent Driver
2688,Motorcycle,Independent Driver
2703,Motorcycle,Independent Driver
2722,Bicycle,Independent Driver
2726,Motorcycle,Partner Fleet
2743,Motorcycle,Independent Driver
2745,Bicycle,Independent Driver
2750,Motorcycle,Independent Driver
2751,Bicycle,Independent Driver
2758,Motorcycle,Independent Driver
2761,Bicycle,Independent Driver
2762,Motorcycle,Independent Driver
2790,Bicycle,Independent Driver
2820,Bicycle,Independent Driver
2836,Motorcycle,Independent Driver
2837,Motorcycle,Independent Driver
2854,Bicycle,Independent Driver
2872,Bicycle,Independent Driver
2876,Bicycle,Independent Driver
2905,Bicycle,Independent Driver
2913,Motorcycle,Independent Driver
2917,Motorcycle,Partner Fleet
2926,Motorcycle,Partner Fleet
2930,Motorcycle,Independent Driver
2932,Motorcycle,Independent Driver
2941,Bicycle,Independent Driver
2945,Bicycle,Independent Driver
2969,Bicycle,Independent Driver
2994,Motorcycle,Independent Driver
3022,Bicycle,Independent Driver
3023,Bicycle,Independent Driver
3024,Bicycle,Independent Driver
3026,Bicycle,Independent Driver
3039,Motorcycle,Independent Driver
3068,Motorcycle,Independent Driver
3076,Motorcycle,Partner Fleet
3088,Motorcycle,Independent Driver
3092,Bicycle,Independent Driver
3099,Motorcycle,Independent Driver
3104,Motorcycle,Independent Driver
3140,Motorcycle,Independent Driver
3153,Bicycle,Independent Driver
3230,Motorcycle,Independent Driver
3236,Bicycle,Independent Driver
3251,Bicycle,Independent Driver
3257,Motorcycle,Independent Driver
3287,Bicycle,Independent Driver
3306,Bicycle,Independent Driver
3321,Bicycle,Independent Driver
3331,Motorcycle,Independent Driver
3354,Bicycle,Independent Driver
3358,Motorcycle,Independent Driver
3363,Bicycle,Independent Driver
3364,Bicycle,Independent Driver
3405,Motorcycle,Independent Driver
3406,Bicycle,Independent Driver
3421,Motorcycle,Independent Driver
3425,Motorcycle,Independent Driver
3441,Bicycle,Independent Driver
3449,Motorcycle,Independent Driver
3478,Bicycle,Independent Driver
3518,Motorcycle,Partner Fleet
3538,Bicycle,Independent Driver
3545,Bicycle,Independent Driver
3550,Motorcycle,Independent Driver
3559,Motorcycle,Independent Driver
3560,Motorcycle,Partner Fleet
3572,Bicycle,Independent Driver
3577,Motorcycle,Partner Fleet
3582,Motorcycle,Independent Driver
3603,Bicycle,Independent Driver
3606,Motorcycle,Partner Fleet
3621,Motorcycle,Independent Driver
3623,Motorcycle,Independent Driver
3625,Motorcycle,Independent Driver
3638,Motorcycle,Independent Driver
3642,Motorcycle,Independent Driver
3653,Motorcycle,Independent Driver
3659,Motorcycle,Partner Fleet
3673,Motorcycle,Independent Driver
3682,Motorcycle,Independent Driver
3695,Motorcycle,Independent Driver
3715,Bicycle,Independent Driver
3724,Motorcycle,Independent Driver
3740,Motorcycle,Independent Driver
3745,Motorcycle,Partner Fleet
3753,Bicycle,Independent Driver
3754,Motorcycle,Independent Driver
3758,Motorcycle,Independent Driver
3780,Bicycle,Independent Driver
3834,Bicycle,Independent Driver
3851,Motorcycle,Independent Driver
3861,Motorcycle,Independent Driver
3863,Motorcycle,Independent Driver
3864,Bicycle,Independent Driver
3872,Bicycle,Independent Driver
3873,Motorcycle,Partner Fleet
3878,Motorcycle,Partner Fleet
3883,Motorcycle,Independent Driver
3884,Motorcycle,Independent Driver
3885,Motorcycle,Independent Driver
3888,Bicycle,Independent Driver
3906,Motorcycle,Independent Driver
4029,Bicycle,Independent Driver
4059,Motorcycle,Independent Driver
4061,Motorcycle,Independent Driver
4070,Motorcycle,Independent Driver
4071,Bicycle,Independent Driver
4075,Bicycle,Independent Driver
4076,Bicycle,Independent Driver
4097,Bicycle,Independent Driver
4104,Bicycle,Independent Driver
4107,Bicycle,Independent Driver
4149,Motorcycle,Independent Driver
4172,Motorcycle,Independent Driver
4179,Motorcycle,Independent Driver
4190,Motorcycle,Independent Driver
4201,Motorcycle,Independent Driver
4244,Motorcycle,Independent Driver
4256,Motorcycle,Independent Driver
4257,Motorcycle,Independent Driver
4285,Motorcycle,Independent Driver
4302,Motorcycle,Independent Driver
4310,Motorcycle,Independent Driver
4313,Motorcycle,Independent Driver
4315,Motorcycle,Partner Fleet
4331,Motorcycle,Partner Fleet
4347,Motorcycle,Independent Driver
4350,Motorcycle,Independent Driver
4381,Motorcycle,Independent Driver
4387,Motorcycle,Independent Driver
4400,Motorcycle,Independent Driver
4429,Bicycle,Independent Driver
4431,Motorcycle,Independent Driver
4448,Motorcycle,Independent Driver
4468,Motorcycle,Independent Driver
4481,Bicycle,Independent Driver
4482,Bicycle,Independent Driver
4488,Bicycle,Independent Driver
4507,Bicycle,Independent Driver
4517,Motorcycle,Independent Driver
4527,Motorcycle,Independent Driver
4528,Bicycle,Independent Driver
4532,Motorcycle,Independent Driver
4536,Bicycle,Independent Driver
4567,Bicycle,Independent Driver
4586,Motorcycle,Independent Driver
4592,Motorcycle,Independent Driver
4613,Motorcycle,Independent Driver
4651,Motorcycle,Independent Driver
4678,Bicycle,Independent Driver
4692,Motorcycle,Independent Driver
4694,Motorcycle,Independent Driver
4702,Motorcycle,Independent Driver
4723,Motorcycle,Independent Driver
4734,Motorcycle,Independent Driver
4737,Motorcycle,Partner Fleet
4756,Bicycle,Independent Driver
4771,Motorcycle,Independent Driver
4774,Motorcycle,Independent Driver
4781,Bicycle,Independent Driver
4790,Motorcycle,Independent Driver
4796,Motorcycle,Independent Driver
4799,Motorcycle,Independent Driver
4806,Motorcycle,Independent Driver
4815,Bicycle,Independent Driver
4816,Motorcycle,Independent Driver
4823,Motorcycle,Independent Driver
4824,Motorcycle,Independent Driver
4840,Motorcycle,Independent Driver
4867,Bicycle,Independent Driver
4896,Bicycle,Independent Driver
4898,Bicycle,Independent Driver
4906,Motorcycle,Independent Driver
4929,Bicycle,Independent Driver
4937,Motorcycle,Partner Fleet
4939,Motorcycle,Independent Driver
4941,Motorcycle,Independent Driver
4948,Motorcycle,Independent Driver
4950,Motorcycle,Independent Driver
4951,Motorcycle,Partner Fleet
4977,Bicycle,Independent Driver
4979,Bicycle,Independent Driver
4988,Bicycle,Independent Driver
5008,Bicycle,Independent Driver
5018,Motorcycle,Independent Driver
5027,Bicycle,Independent Driver
5028,Motorcycle,Independent Driver
5030,Motorcycle,Independent Driver
5037,Motorcycle,Independent Driver
5042,Bicycle,Independent Driver
5046,Motorcycle,Independent Driver
5052,Motorcycle,Independent Driver
5058,Motorcycle,Independent Driver
5096,Motorcycle,Partner Fleet
5098,Motorcycle,Independent Driver
5101,Bicycle,Independent Driver
5107,Motorcycle,Partner Fleet
5110,Motorcycle,Independent Driver
5126,Motorcycle,Independent Driver
5128,Motorcycle,Independent Driver
5141,Motorcycle,Independent Driver
5149,Motorcycle,Independent Driver
5163,Motorcycle,Independent Driver
5165,Motorcycle,Independent Driver
5171,Motorcycle,Independent Driver
5212,Motorcycle,Partner Fleet
5226,Bicycle,Independent Driver
5232,Motorcycle,Independent Driver
5235,Motorcycle,Independent Driver
5236,Bicycle,Independent Driver
5250,Bicycle,Independent Driver
5261,Motorcycle,Independent Driver
5267,Motorcycle,Partner Fleet
5269,Motorcycle,Independent Driver
5271,Motorcycle,Independent Driver
5274,Motorcycle,Independent Driver
5276,Motorcycle,Independent Driver
5277,Motorcycle,Partner Fleet
5280,Motorcycle,Partner Fleet
5300,Bicycle,Independent Driver
5303,Bicycle,Independent Driver
5308,Bicycle,Independent Driver
5315,Motorcycle,Independent Driver
5339,Motorcycle,Independent Driver
5349,Motorcycle,Independent Driver
5353,Bicycle,Independent Driver
5355,Motorcycle,Independent Driver
5363,Motorcycle,Independent Driver
5364,Bicycle,Independent Driver
5367,Bicycle,Independent Driver
5368,Bicycle,Independent Driver
5380,Bicycle,Independent Driver
5394,Motorcycle,Independent Driver
5402,Motorcycle,Partner Fleet
5403,Motorcycle,Independent Driver
5410,Bicycle,Independent Driver
5417,Motorcycle,Independent Driver
5419,Bicycle,Independent Driver
5435,Motorcycle,Independent Driver
5437,Motorcycle,Independent Driver
5445,Bicycle,Independent Driver
5447,Motorcycle,Independent Driver
5448,Motorcycle,Independent Driver
5455,Motorcycle,Independent Driver
5456,Motorcycle,Independent Driver
5468,Motorcycle,Independent Driver
5494,Bicycle,Independent Driver
5501,Bicycle,Independent Driver
5521,Motorcycle,Independent Driver
5524,Motorcycle,Independent Driver
5525,Motorcycle,Independent Driver
5527,Motorcycle,Independent Driver
5528,Motorcycle,Independent Driver
5538,Bicycle,Independent Driver
5539,Bicycle,Independent Driver
5540,Bicycle,Independent Driver
5555,Motorcycle,Independent Driver
5567,Motorcycle,Independent Driver
5574,Motorcycle,Partner Fleet
5581,Motorcycle,Independent Driver
5606,Motorcycle,Partner Fleet
5607,Motorcycle,Partner Fleet
5618,Motorcycle,Partner Fleet
5623,Motorcycle,Independent Driver
5628,Motorcycle,Independent Driver
5630,Bicycle,Independent Driver
5643,Motorcycle,Independent Driver
5689,Motorcycle,Independent Driver
5714,Bicycle,Independent Driver
5715,Bicycle,Independent Driver
5716,Motorcycle,Independent Driver
5727,Motorcycle,Independent Driver
5738,Bicycle,Independent Driver
5748,Bicycle,Independent Driver
5776,Bicycle,Independent Driver
5777,Bicycle,Independent Driver
5784,Bicycle,Independent Driver
5785,Bicycle,Independent Driver
5792,Motorcycle,Independent Driver
5795,Motorcycle,Independent Driver
5796,Bicycle,Independent Driver
5798,Bicycle,Independent Driver
5800,Bicycle,Independent Driver
5801,Motorcycle,Independent Driver
5810,Motorcycle,Independent Driver
5813,Bicycle,Independent Driver
5816,Motorcycle,Independent Driver
5841,Bicycle,Independent Driver
5846,Bicycle,Independent Driver
5854,Motorcycle,Independent Driver
5866,Motorcycle,Partner Fleet
5868,Bicycle,Independent Driver
5869,Bicycle,Independent Driver
5884,Bicycle,Independent Driver
5890,Bicycle,Independent Driver
5907,Motorcycle,Independent Driver
5913,Bicycle,Independent Driver
5914,Motorcycle,Independent Driver
5918,Bicycle,Independent Driver
5919,Bicycle,Independent Driver
5941,Bicycle,Independent Driver
5942,Bicycle,Independent Driver
5946,Motorcycle,Independent Driver
5947,Motorcycle,Partner Fleet
5953,Motorcycle,Independent Driver
5956,Bicycle,Independent Driver
5965,Motorcycle,Independent Driver
5972,Motorcycle,Independent Driver
5978,Bicycle,Independent Driver
5985,Bicycle,Independent Driver
5998,Bicycle,Independent Driver
6002,Motorcycle,Independent Driver
6013,Bicycle,Independent Driver
6016,Bicycle,Independent Driver
6017,Bicycle,Independent Driver
6023,Motorcycle,Independent Driver
6026,Motorcycle,Partner Fleet
6038,Bicycle,Independent Driver
6045,Motorcycle,Independent Driver
6066,Motorcycle,Independent Driver
6080,Bicycle,Independent Driver
6081,Motorcycle,Partner Fleet
6089,Motorcycle,Partner Fleet
6106,Motorcycle,Partner Fleet
6125,Motorcycle,Partner Fleet
6128,Motorcycle,Independent Driver
6131,Motorcycle,Independent Driver
6136,Motorcycle,Independent Driver
6140,Motorcycle,Independent Driver
6144,Motorcycle,Partner Fleet
6153,Motorcycle,Independent Driver
6161,Motorcycle,Independent Driver
6165,Bicycle,Independent Driver
6170,Motorcycle,Independent Driver
6172,Motorcycle,Partner Fleet
6196,Bicycle,Independent Driver
6201,Motorcycle,Partner Fleet
6210,Motorcycle,Independent Driver
6228,Motorcycle,Independent Driver
6251,Motorcycle,Independent Driver
6252,Motorcycle,Independent Driver
6258,Motorcycle,Independent Driver
6310,Bicycle,Independent Driver
6312,Motorcycle,Independent Driver
6326,Bicycle,Independent Driver
6327,Motorcycle,Independent Driver
6350,Bicycle,Independent Driver
6361,Motorcycle,Partner Fleet
6379,Motorcycle,Independent Driver
6394,Bicycle,Independent Driver
6397,Motorcycle,Independent Driver
6436,Bicycle,Independent Driver
6514,Bicycle,Independent Driver
6516,Motorcycle,Independent Driver
6536,Bicycle,Independent Driver
6558,Motorcycle,Independent Driver
6559,Bicycle,Independent Driver
6562,Motorcycle,Independent Driver
6571,Bicycle,Independent Driver
6573,Bicycle,Independent Driver
6616,Motorcycle,Independent Driver
6624,Bicycle,Independent Driver
6632,Motorcycle,Independent Driver
6638,Bicycle,Independent Driver
6646,Motorcycle,Independent Driver
6656,Motorcycle,Independent Driver
6657,Motorcycle,Independent Driver
6662,Motorcycle,Partner Fleet
6667,Bicycle,Independent Driver
6675,Bicycle,Independent Driver
6683,Bicycle,Independent Driver
6687,Bicycle,Independent Driver
6707,Motorcycle,Independent Driver
6714,Bicycle,Independent Driver
6718,Bicycle,Independent Driver
6723,Motorcycle,Independent Driver
6726,Bicycle,Independent Driver
6735,Bicycle,Independent Driver
6742,Bicycle,Independent Driver
6748,Bicycle,Independent Driver
6755,Motorcycle,Independent Driver
6774,Motorcycle,Independent Driver
6781,Motorcycle,Independent Driver
6789,Bicycle,Independent Driver
6790,Bicycle,Independent Driver
6791,Motorcycle,Independent Driver
6793,Motorcycle,Independent Driver
6805,Motorcycle,Independent Driver
6837,Motorcycle,Independent Driver
6857,Bicycle,Independent Driver
6863,Motorcycle,Independent Driver
6864,Motorcycle,Independent Driver
6878,Bicycle,Independent Driver
6880,Bicycle,Independent Driver
6881,Bicycle,Independent Driver
6893,Bicycle,Independent Driver
6904,Motorcycle,Partner Fleet
6925,Motorcycle,Independent Driver
6934,Bicycle,Independent Driver
6949,Bicycle,Independent Driver
6952,Motorcycle,Independent Driver
6974,Motorcycle,Independent Driver
6976,Motorcycle,Independent Driver
6979,Motorcycle,Independent Driver
6987,Bicycle,Independent Driver
7033,Motorcycle,Independent Driver
7045,Bicycle,Independent Driver
7060,Motorcycle,Independent Driver
7085,Bicycle,Independent Driver
7090,Motorcycle,Independent Driver
7096,Motorcycle,Partner Fleet
7108,Bicycle,Independent Driver
7111,Bicycle,Independent Driver
7139,Bicycle,Independent Driver
7170,Bicycle,Independent Driver
7226,Motorcycle,Partner Fleet
7235,Motorcycle,Partner Fleet
7239,Motorcycle,Independent Driver
7247,Motorcycle,Independent Driver
7249,Bicycle,Independent Driver
7258,Bicycle,Independent Driver
7263,Motorcycle,Independent Driver
7271,Bicycle,Independent Driver
7280,Bicycle,Independent Driver
7281,Bicycle,Independent Driver
7284,Bicycle,Independent Driver
7297,Motorcycle,Independent Driver
7313,Motorcycle,Independent Driver
7319,Bicycle,Independent Driver
7322,Bicycle,Independent Driver
7326,Bicycle,Independent Driver
7335,Bicycle,Independent Driver
7336,Motorcycle,Independent Driver
7339,Motorcycle,Partner Fleet
7349,Motorcycle,Independent Driver
7362,Motorcycle,Independent Driver
7364,Motorcycle,Independent Driver
7381,Motorcycle,Partner Fleet
7385,Motorcycle,Independent Driver
7388,Motorcycle,Partner Fleet
7396,Motorcycle,Partner Fleet
7397,Bicycle,Independent Driver
7399,Motorcycle,Independent Driver
7419,Bicycle,Independent Driver
7431,Motorcycle,Independent Driver
7432,Motorcycle,Independent Driver
7451,Motorcycle,Independent Driver
7452,Motorcycle,Independent Driver
7456,Motorcycle,Independent Driver
7467,Motorcycle,Independent Driver
7468,Motorcycle,Partner Fleet
7472,Bicycle,Independent Driver
7479,Bicycle,Independent Driver
7480,Motorcycle,Independent Driver
7492,Bicycle,Independent Driver
7511,Motorcycle,Independent Driver
7517,Motorcycle,Independent Driver
7524,Bicycle,Independent Driver
7528,Motorcycle,Independent Driver
7542,Motorcycle,Independent Driver
7549,Motorcycle,Partner Fleet
7552,Motorcycle,Independent Driver
7562,Motorcycle,Independent Driver
7563,Motorcycle,Independent Driver
7606,Motorcycle,Independent Driver
7615,Motorcycle,Partner Fleet
7638,Bicycle,Independent Driver
7640,Bicycle,Independent Driver
7641,Motorcycle,Independent Driver
7650,Motorcycle,Independent Driver
7654,Motorcycle,Independent Driver
7655,Motorcycle,Independent Driver
7661,Bicycle,Independent Driver
7673,Motorcycle,Independent Driver
7686,Motorcycle,Independent Driver
7702,Motorcycle,Independent Driver
7705,Bicycle,Independent Driver
7716,Motorcycle,Independent Driver
7727,Bicycle,Independent Driver
7736,Motorcycle,Independent Driver
7739,Motorcycle,Partner Fleet
7741,Motorcycle,Independent Driver
7754,Motorcycle,Independent Driver
7761,Motorcycle,Independent Driver
7763,Motorcycle,Independent Driver
7765,Motorcycle,Independent Driver
7767,Motorcycle,Independent Driver
7773,Bicycle,Independent Driver
7774,Bicycle,Independent Driver
7780,Motorcycle,Independent Driver
7783,Motorcycle,Partner Fleet
7789,Motorcycle,Partner Fleet
7790,Motorcycle,Independent Driver
7798,Motorcycle,Independent Driver
7799,Motorcycle,Independent Driver
7835,Motorcycle,Independent Driver
7844,Motorcycle,Independent Driver
7847,Bicycle,Independent Driver
7850,Motorcycle,Independent Driver
7857,Bicycle,Independent Driver
7868,Bicycle,Independent Driver
7884,Motorcycle,Independent Driver
7886,Bicycle,Independent Driver
7896,Motorcycle,Independent Driver
7903,Motorcycle,Independent Driver
7907,Motorcycle,Independent Driver
7930,Motorcycle,Partner Fleet
7932,Bicycle,Independent Driver
7937,Motorcycle,Independent Driver
7938,Motorcycle,Independent Driver
7953,Bicycle,Independent Driver
7956,Bicycle,Independent Driver
7958,Bicycle,Independent Driver
7967,Motorcycle,Independent Driver
7977,Bicycle,Independent Driver
7995,Motorcycle,Independent Driver
8009,Bicycle,Independent Driver
8013,Motorcycle,Independent Driver
8024,Bicycle,Independent Driver
8025,Motorcycle,Independent Driver
8060,Motorcycle,Independent Driver
8091,Motorcycle,Independent Driver
8092,Motorcycle,Partner Fleet
8102,Motorcycle,Partner Fleet
8122,Motorcycle,Partner Fleet
8128,Motorcycle,Independent Driver
8133,Motorcycle,Independent Driver
8149,Motorcycle,Independent Driver
8161,Bicycle,Independent Driver
8182,Motorcycle,Independent Driver
8191,Bicycle,Independent Driver
8193,Motorcycle,Independent Driver
8224,Bicycle,Independent Driver
8226,Bicycle,Independent Driver
8231,Motorcycle,Independent Driver
8266,Motorcycle,Independent Driver
8276,Motorcycle,Independent Driver
8289,Bicycle,Independent Driver
8301,Motorcycle,Independent Driver
8302,Bicycle,Independent Driver
8314,Motorcycle,Independent Driver
8315,Bicycle,Independent Driver
8326,Bicycle,Independent Driver
8338,Motorcycle,Independent Driver
8378,Motorcycle,Independent Driver
8434,Motorcycle,Independent Driver
8456,Motorcycle,Partner Fleet
8467,Bicycle,Independent Driver
8498,Motorcycle,Independent Driver
8510,Motorcycle,Independent Driver
8514,Motorcycle,Independent Driver
8521,Bicycle,Independent Driver
8529,Bicycle,Independent Driver
8531,Motorcycle,Partner Fleet
8588,Motorcycle,Independent Driver
8590,Motorcycle,Independent Driver
8592,Bicycle,Independent Driver
8597,Motorcycle,Independent Driver
